,ID,Tweet Time,Convo ID,Likes Count,Retweets Count,Tweets,Tweets(rendered),in_reply_to_tweet_id,in_reply_to,User,User Location,Followers Count,Followings Count,Likes Count,Tweets Count
20,1250291579161440257,2020-04-15 05:15:16+00:00,1250291579161440257,1302,197,"Seret Said Didu ke Jalur Hukum, Menko Luhut: Saya Enggak Kepikiran, Itu Urusan Anak Buah, Pak LBP Hatinya Emas, karena itu Kami para Sahabatnya marah hukum harus ditegakkan di Negara Hukum Indonesia tercinta maka jadikan Hukum itu Panglima MERDEKA🇮🇩👍. https://t.co/Ac6qDDcPZZ","Seret Said Didu ke Jalur Hukum, Menko Luhut: Saya Enggak Kepikiran, Itu Urusan Anak Buah, Pak LBP Hatinya Emas, karena itu Kami para Sahabatnya marah hukum harus ditegakkan di Negara Hukum Indonesia tercinta maka jadikan Hukum itu Panglima MERDEKA🇮🇩👍. gelora.co/2020/04/seret-…",,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
21,1250247616308232193,2020-04-15 02:20:34+00:00,1250247616308232193,1,0,"@podoradong Cenburuuuuuuuuu nie ye, Ahok dilawan ya KO ka’cian deh.","@podoradong Cenburuuuuuuuuu nie ye, Ahok dilawan ya KO ka’cian deh.",,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
22,1250226417167556609,2020-04-15 00:56:20+00:00,1250226417167556609,181,21,3 Kebijakan Luhut sebagai Plt Menhub Terkait Corona: soal Ojol sampai Bandara - https://t.co/9cnDzsTy0O ini baru Pembantu Presiden yg terusssss Kerja kerja kerja utk Rakyat marilah Kita menilainya dgn hati jgn dgn Congor malu Nyinyir melulu MERDEKA🇮🇩👍. https://t.co/iF1bRXPcsC,3 Kebijakan Luhut sebagai Plt Menhub Terkait Corona: soal Ojol sampai Bandara - kumparan.com ini baru Pembantu Presiden yg terusssss Kerja kerja kerja utk Rakyat marilah Kita menilainya dgn hati jgn dgn Congor malu Nyinyir melulu MERDEKA🇮🇩👍. kumparan.com/kumparanbisnis…,,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
23,1250222244355174400,2020-04-15 00:39:45+00:00,1250222244355174400,432,45,"Luhut: Penduduk RI 270 Juta, yang Meninggal Kena Corona Enggak Sampai 500 - https://t.co/9cnDzsTy0O, begitulah mereka Pak LBP yg protes tanpa solusi hanya krn kebencian yg ada dibenaknya seperti memakai Kacamata Kuda MERDEKA🇮🇩👍. https://t.co/Jzqylnbm2a","Luhut: Penduduk RI 270 Juta, yang Meninggal Kena Corona Enggak Sampai 500 - kumparan.com, begitulah mereka Pak LBP yg protes tanpa solusi hanya krn kebencian yg ada dibenaknya seperti memakai Kacamata Kuda MERDEKA🇮🇩👍. kumparan.com/kumparanbisnis…",,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
24,1250220047408041984,2020-04-15 00:31:01+00:00,1250220047408041984,8,0,@RachlanNashidik Sudalah Boss Kita saja nggak bisa lawan LBP apalagi kau Bro baik2 saja duduk diboncengan kasihan jangan sampai sakit Virus Corona belum berlalu Sip deh.,@RachlanNashidik Sudalah Boss Kita saja nggak bisa lawan LBP apalagi kau Bro baik2 saja duduk diboncengan kasihan jangan sampai sakit Virus Corona belum berlalu Sip deh.,,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
25,1250042827922235393,2020-04-14 12:46:49+00:00,1250042827922235393,0,0,@iskandar__fauzi Putranya Alm Bang Syahrir  Tokoh HMI dan Angkatan 66 mantap lanjutkan Sip deh.,@iskandar__fauzi Putranya Alm Bang Syahrir  Tokoh HMI dan Angkatan 66 mantap lanjutkan Sip deh.,,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
26,1250041965938274304,2020-04-14 12:43:23+00:00,1250041965938274304,0,0,@iskandar__fauzi ka’cian deh kok kejam banget ha ha ha baik2 saja duduk diboncengan Sip deh.,@iskandar__fauzi ka’cian deh kok kejam banget ha ha ha baik2 saja duduk diboncengan Sip deh.,,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
27,1250041384427335680,2020-04-14 12:41:05+00:00,1250041384427335680,1,1,@umaleao Tokoh ka’le bukan Pakar Hukum Sip deh.,@umaleao Tokoh ka’le bukan Pakar Hukum Sip deh.,,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
28,1250040072285458433,2020-04-14 12:35:52+00:00,1250040072285458433,0,0,@__Effendi__ Ka’le dia sudah ketakutan ha ha haPenuda ganteng bewokan dilawan ka’cian deh.,@__Effendi__ Ka’le dia sudah ketakutan ha ha haPenuda ganteng bewokan dilawan ka’cian deh.,,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
29,1250035808800669698,2020-04-14 12:18:56+00:00,1250035808800669698,0,0,"@bintangku206 Kadrun👺ini bisanya apa ya, congornya nyinyir terusssss nggak level sama Bu Sri Mulyani ha ha ha ka’cian deh MERDEKA👍🇮🇩.","@bintangku206 Kadrun👺ini bisanya apa ya, congornya nyinyir terusssss nggak level sama Bu Sri Mulyani ha ha ha ka’cian deh MERDEKA👍🇮🇩.",,,ruhutsitompul,Jakarta,2341377,194787,3630,22683
